Data NuEer,bidder,house,date,lot,profit,Net  Payment,rank,realisation in final auAtion,bid,EstDated MinDum,EstDated MaxDum,Aatalog PriAe,Aatalog Du10y,EstDate Min,EstDate Max,Grade Min ,Grade Max,No Grade,ExAlusively US,No Value
1515,6,C,35508,404,13.33333333,13.33333333,4,600,700,600,800,0,0,600,800,3,2,0,0,0
1516,1,C,35508,404,5,5,5,600,650,600,800,0,0,600,800,3,2,0,0,0
1517,5,C,35508,404,5,5,6,600,650,600,800,0,0,600,800,3,2,0,0,0
1518,2,C,35508,404,0,0,7,600,575,600,800,0,0,600,800,3,2,0,0,0
1519,8,C,35508,404,0,0,8,600,350,600,800,0,0,600,800,3,2,0,0,0
1520,1,C,35508,405,0,0,1,350,350,250,300,0,0,250,300,6,6,0,0,0
1521,3,C,35508,405,0,0,2,350,240,250,300,0,0,250,300,6,6,0,0,0
1522,4,C,35508,406,0,0,1,3950,5700,2000,2000,0,0,2000,2000,6,2,0,0,0
1523,7,C,35508,406,0,0,2,3950,3800,2000,2000,0,0,2000,2000,6,2,0,0,0
1524,1,C,35508,406,0,0,3,3950,3250,2000,2000,0,0,2000,2000,6,2,0,0,0
1525,5,C,35508,406,0,0,4,3950,3200,2000,2000,0,0,2000,2000,6,2,0,0,0
1526,2,C,35508,406,0,0,5,3950,3200,2000,2000,0,0,2000,2000,6,2,0,0,0
1527,3,C,35508,406,0,0,6,3950,3100,2000,2000,0,0,2000,2000,6,2,0,0,0
1528,8,C,35508,406,0,0,7,3950,2400,2000,2000,0,0,2000,2000,6,2,0,0,0
1529,6,C,35508,406,0,0,8,3950,2200,2000,2000,0,0,2000,2000,6,2,0,0,0
1530,1,C,35508,407,575,-575,1,4750,6500,2500,3500,0,0,2500,3500,6,6,0,0,0
1531,4,C,35508,407,327.0833333,327.0833333,2,4750,5900,2500,3500,0,0,2500,3500,6,6,0,0,0
1532,7,C,35508,407,127.0833333,127.0833333,3,4750,5500,2500,3500,0,0,2500,3500,6,6,0,0,0
