"Data NuEer","bidder","house","date","lot","profit","payment","rank","target_price","ko_bid","est_min_dum","est_max_dum","catalog_price","catalog_du10y","est_min","est_max","grade_min","grade_max","no_grade","us","no_value","ringers","max_bid","ring_winner","highest_ringer","payer","receiver","avg_est","small_lots","ones"
2169,5,"C",35508,976,0,0,2,325,230,200,300,0,0,200,300,6,6,0,0,0,2,350,1,1,0,0,250,1,1
2193,1,"D",35412,1001,0,0,1,1500,1350,1500,2000,0,0,1500,2000,3,2,0,0,0,2,1350,0,0,0,0,1750,1,1
2194,2,"D",35412,1001,0,0,2,1500,1000,1500,2000,0,0,1500,2000,3,2,0,0,0,2,1350,0,1,0,0,1750,1,1
2211,5,"D",35412,1021,0,0,1,350,375,0,0,477.5,1,477.5,477.5,2,1,0,0,0,2,375,0,0,0,0,477.5,1,1
2212,1,"D",35412,1021,0,0,2,350,300,0,0,477.5,1,477.5,477.5,2,1,0,0,0,2,375,1,1,0,0,477.5,1,1
2213,5,"D",35412,1022,0,0,1,260,320,0,0,486.5,1,486.5,486.5,1,1,0,0,0,2,320,0,0,0,0,486.5,1,1
2214,1,"D",35412,1022,0,0,2,260,240,0,0,486.5,1,486.5,486.5,1,1,0,0,0,2,320,1,1,0,0,486.5,1,1
2215,5,"D",35412,1023,0,0,1,350,450,0,0,900,1,900,900,2,2,0,0,0,2,450,0,0,0,0,900,1,1
2216,1,"D",35412,1023,0,0,2,350,220,0,0,900,1,900,900,2,2,0,0,0,2,450,1,1,0,0,900,1,1
2217,5,"D",35412,1024,0,0,1,800,1050,0,0,1790,1,1790,1790,1,1,0,0,0,2,1050,0,0,0,0,1790,1,1
2218,1,"D",35412,1024,0,0,2,800,700,0,0,1790,1,1790,1790,1,1,0,0,0,2,1050,1,1,0,0,1790,1,1
2219,5,"D",35412,1025,0,0,1,150,200,0,0,219,1,219,219,1,1,0,0,0,2,200,0,0,0,0,219,1,1
2220,1,"D",35412,1025,0,0,2,150,110,0,0,219,1,219,219,1,1,0,0,0,2,200,1,1,0,0,219,1,1
2221,5,"D",35412,1026,0,0,1,240,325,0,0,411.5,1,411.5,411.5,1,1,0,0,0,2,325,0,0,0,0,411.5,1,1
2222,1,"D",35412,1026,0,0,2,240,210,0,0,411.5,1,411.5,411.5,1,1,0,0,0,2,325,1,1,0,0,411.5,1,1
2238,1,"D",35412,1088,0,0,1,2200,2200,2000,3000,0,0,2000,3000,3,2,0,0,0,2,2200,0,0,0,0,2500,1,1
2239,2,"D",35412,1088,0,0,2,2200,1600,2000,3000,0,0,2000,3000,3,2,0,0,0,2,2200,1,1,0,0,2500,1,1
2268,2,"D",35412,1124,0,0,1,900,550,750,1000,0,0,750,1000,2,2,0,0,0,2,550,0,0,0,0,875,1,1
2269,1,"D",35412,1124,0,0,2,900,500,750,1000,0,0,750,1000,2,2,0,0,0,2,550,0,1,0,0,875,1,1
2274,2,"D",35412,1127,0,0,1,700,900,400,500,0,0,400,500,3,2,0,0,0,2,900,0,0,0,0,450,1,1
2275,1,"D",35412,1127,0,0,2,700,650,400,500,0,0,400,500,3,2,0,0,0,2,900,1,1,0,0,450,1,1
2276,1,"D",35412,1129,0,0,1,2100,2100,2000,3000,0,0,2000,3000,3,2,0,0,0,2,2100,0,0,0,0,2500,1,1
2277,2,"D",35412,1129,0,0,2,2100,1600,2000,3000,0,0,2000,3000,3,2,0,0,0,2,2100,1,1,0,0,2500,1,1
2286,2,"D",35412,1134,0,0,1,1050,1150,1000,1500,0,0,1000,1500,3,2,0,0,0,2,1150,0,0,0,0,1250,1,1
2287,4,"D",35412,1134,0,0,2,1050,1050,1000,1500,0,0,1000,1500,3,2,0,0,0,2,1150,1,1,0,0,1250,1,1
2295,4,"D",35412,1137,0,0,1,600,475,500,750,0,0,500,750,0,0,1,0,0,2,475,0,0,0,0,625,1,1
2296,2,"D",35412,1137,0,0,2,600,450,500,750,0,0,500,750,0,0,1,0,0,2,475,0,1,0,0,625,1,1
2304,1,"D",35412,1141,0,0,1,325,350,300,400,0,0,300,400,3,2,0,0,0,2,350,0,0,0,0,350,1,1
2305,2,"D",35412,1141,0,0,2,325,225,300,400,0,0,300,400,3,2,0,0,0,2,350,1,1,0,0,350,1,1
2314,1,"D",35412,1147,0,0,1,1000,1000,500,750,0,0,500,750,3,2,0,0,0,2,1000,0,0,0,0,625,1,1
2315,6,"D",35412,1147,0,0,2,1000,850,500,750,0,0,500,750,3,2,0,0,0,2,1000,1,1,0,0,625,1,1
2331,6,"D",35412,1154,0,0,1,3000,7000,2000,3000,0,0,2000,3000,3,2,0,0,0,2,7000,0,0,0,0,2500,1,1
2332,1,"D",35412,1154,0,0,2,3000,2900,2000,3000,0,0,2000,3000,3,2,0,0,0,2,7000,1,1,0,0,2500,1,1
2333,2,"D",35412,1155,0,0,1,1900,1800,1500,2000,0,0,1500,2000,3,2,0,0,0,2,1800,0,0,0,0,1750,1,1
2334,1,"D",35412,1155,0,0,2,1900,1500,1500,2000,0,0,1500,2000,3,2,0,0,0,2,1800,0,1,0,0,1750,1,1
2338,2,"D",35412,1157,0,0,1,270,200,200,300,0,0,200,300,3,2,0,0,0,2,200,0,0,0,0,250,1,1
